,cell_type,marker,tissue
2719,Microglial cell,"BCL2A1,CCL2,CCL4,CD14,CD83,CSF1R,GPR183,HLA-DRA,LAPTM5",Brain
2720,Endothelial cell,"A2M,APOLD1,FLT1,TM4SF1",Brain
2721,Cancer stem cell,"ABCG2,ALDH1A1,ALDH1A2,ALDH1A3,CD24,CD44,EPCAM,KIT,MYD88,PROM1",Ovary
2722,Cancer cell,"KL6,KL7,KL8,MUC16,PAX8,WT1",Ovary
2723,Epithelial cell,"CD24,CDH1,CLDN4,DSP,EpCAM,KRT18,KRT19,OCLN",Ovary
2724,Mesenchymal cell,"ACTA2,CD44,CDH2,FN1,ITGA5,MMP2,S100A4,SNAI2,TNC,TWIST1,VIM,WNT5A,ZEB1,ZEB2",Ovary
2725,Naive CD8+ T cell,"ABLIM1,ACTN1,AIF1,APBA2,APEX1,ARHGAP45,ARHGEF18,ATM,BACH2,BEX4,C1orf162,C1orf228,C6orf48,CA6,CAMK4,CCR7,CD248,CD55,CEP68,COQ8A,DGKA,EEF2,EIF3E,EIF3L,EPHX2,EXOSC8,FAM102A,FAM117B,FAM60A,FKBP5,FOXP1,GAS5,GCSAM,GIMAP2,GLTSCR2,GPR155,GPR183,IGF1R,ITFG2,LDHB,LDLRAP1,LEF1,LEF1-AS1,LINC01550,LMO7,LRRC75A,LRRC75A-AS1,LRRN3,MAL,MAML2,MLXIP,MYC,NDFIP1,NELL2,NOG,NOSIP,NPAT,NPM1,NT5E,OXNAD1,PASK,PDE3B,PDK1,PIK3IP1,PLEKHB1,PRKCQ-AS1,PSIP1,R3HDM4,RACK1,RASGRP2,RCAN3,RIC3,RPS8,SCML4,SELL,SERINC5,SGSM3,SH3YL1,SMAP2,SNED1,SNURF,SPINT2,SPTBN1,STMN3,TCF7,THAP7,THEM4,TMEM123,TMEM204,TMEM63A,TNFSF8,TOMM7,TPCN1,TRABD2A,TRAP1,TRMT1,TXK,UBQLN2,VIPR1,WDR43,ZNF101",Peripheral blood
2726,Effector CD8+ memory T (Tem) cell,"ADAM8,ADGRG1,ADRB2,AGTPBP1,AHNAK,ARHGAP25,ARL4C,BIN2,C12orf75,C1orf21,CAPN2,CASP8,CD300A,CEP78,CX3CR1,DSTN,EFHD2,EMP3,FCGR3A,FCGR3B,FCRL6,FGFBP2,FGR,FLNA,FUT11,GAB3,GK5,GLUL,GNLY,GZMB,GZMH,ITGAM,KCNAB2,KLRD1,KLRF1,LGALS1,LILRB1,LITAF,LLGL2,LPCAT1,LUZP6,MBP,MTSS1,MYO1F,MYO1G,OSBPL5,PATL2,PIK3R5,PLEK,PLEKHG3,PRKCB,PRSS23,PXN,RAP1B,RAP1GAP2,RAP2B,RASSF1,RGS19,RNF166,S1PR5,SAMD3,SH3BP5,SH3BP5-AS1,SLC2A1,SLC9A3R1,SLCO4C1,SPON2,SRPK2,STK10,SYNE1,TAGLN2,TBX21,TGFBR3,TM4SF19,TM4SF19-TCTEX1D2,TPST2,TTC16,TTC38,USP28,VCL,VEZF1,WDR37,ZEB2,ZEB2-AS1,ZNF600",Peripheral blood
2727,Mucosal-associated invariant T cell,"ADAM12,APOL3,B3GALT2,CCR1,CCR2,CCR6,CD160,CD40LG,CEBPD,CERK,COLQ,CTSH,DKK3,DPP4,DUSP1,EDEM2,ERN1,FKBP11,FLT4,GALC,GPR171,GPR65,GYG1,HACL1,HPGD,IFNGR1,IKZF2,IL12RB2,IL18R1,IL18RAP,IL23R,IL4I1,JAML,KLRB1,LOC643733,LST1,LTK,MBOAT1,ME1,MKNK1,NCR3,NFKBIA,NR1D1,NRIP1,OBFC1,ODF2L,P2RY14,PBXIP1,PDK3,PHACTR2,PNP,PRNP,RORA,RORC,RUNX2,SESN1,SLAMF1,SLC4A10,SPOCK2,SYTL2,TBC1D31,TC2N,TLE1,TMEM71,TMIGD2,TNF,TRAT1,TSPAN15,TTC39C,ZBTB16",Liver
2728,Exhausted CD8+ T cell,"ABCG1,ACP5,ACSL4,ACTN4,AFAP1L2,AHI1,AIP,AKAP5,ANKRD10,ANXA5,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,ARHGAP9,ARID5B,ARL3,ARNT,ARPC1B,ASB2,ATP10D,ATP8B4,ATXN1,BATF,BCL2L11,BLOC1S2,BST2,BTG3,C17orf62,CALCOCO2,CALM3,CAMK1,CAPZA2,CASP3,CAT,CBLB,CCDC141,CCL3,CCND2,CD200,CD27,CD27-AS1,CD2BP2,CD38,CD63,CD7,CD70,CD82,CD84,CHST12,CLECL1,CLNK,CLSTN3,COQ10B,COTL1,CREM,CSF1,CSNK2B,CTLA4,CTNNA1,CTNNB1,CTSB,CTSD,CXCL13,CXCR6,DCAF11,DDX60,DGKH,DRAP1,DUSP4,EID1,ENTPD1,ENTPD1-AS1,EPSTI1,ETNK1,ETV1,EWSR1,FAM3C,FASLG,FIBP,FKBP1A,FKBP1A-SDCBP2,FUT8,GABARAPL1,GALM,GALNT2,GAPDH,GATA3,GBP1,GBP2,GBP4,GCNT1,GFOD1,GGA2,GLDC,GMDS,GOLIM4,GPD2,GSTO1,GTF2I,HAVCR2,HLA-DMA,HLA-DRA,HMOX1,HNRNPLL,ICAM3,ICOS,ID2,ID3,IFI16,IFI27L2,IFI35,IFI6,IFNG,IGFLR1,IKZF3,IL21R,IL2RB,INPP5F,IRF2,IRF9,ITGAE,ITM2A,JMJD4,KIF20B,KIR2DL4,KLRC4,KRT86,LAG3,LAT2,LAYN,LDHA,LIMK1,LIMS1,LINC00299,LINC00963,LSM2,LSP1,LY6E,LY6G5B,LYST,MAD2L2,MAP2K3,MAPKAPK3,MAPRE2,MCL1,MIR155,MIR155HG,MIR4632,MIR497HG,MIS18BP1,MS4A6A,MTHFD1,MTHFD2,MX1,MYO1E,MYO7A,NAB1,NAPA,NASP,NCF4,NDFIP2,NEDD9,NFAT5,NR4A2,NRBP1,NUDT5,OAS3,OASL,OS9,OSBPL3,P2RY10,PAM,PARK7,PARP14,PDCD1,PDE7B,PDLIM7,PELI1,PFKP,PHEX,PHLDA1,PHTF2,PKM,PLPP1,PLSCR1,PMF1,PMF1-BGLAP,PON2,PPM1G,PPM1M,PRDM1,PRDX5,PRKAR1A,PRKCH,PSMA5,PSME2,PSTPIP1,PTGIS,PTMS,PTPN11,PTPN22,PTPN7,RAB27A,RALGDS,RBPJ,RFX5,RGS1,RGS2,RHBDD2,RHOH,RIN3,RNF19A,RNF31,SAMD9L,SAMSN1,SARDH,SCO2,SEL1L3,SEMA4A,SHFM1,SIRPG,SKIV2L2,SLA,SLC2A8,SLC4A5,SNAP47,SNX17,SNX9,SP140,SPTAN1,SRGAP3,SRGN,SRI,SSH1,STAM,STARD4,STAT3,SUSD6,SYNGR2,TBC1D4,TBK1,TBL1XR1,TET2,TFRC,TIGIT,TNFAIP3,TNFRSF1B,TNFRSF9,TNFSF4,TNS3,TOX,TOX2,TPI1,TRAF5,TRAFD1,TRPS1,TTC24,TTYH3,TYMP,UBASH3B,UBE2L6,VAMP5,VCAM1,VMP1,WARS,WHRN,YARS,ZBED2,ZFP36L1,ZMYM5,ZNF79",Liver
2729,Naive CD4+ T cell,"ABLIM1,ACTN1,C1orf162,C6orf48,CCR7,CD55,EEF1B2,EIF3L,FAM117B,FHIT,GIMAP5,GIMAP8,GPR183,IL7R,LDLRAP1,LRRC75A-AS1,LRRN3,MAL,MYC,NELL2,NOSIP,PRKCA,RPS5,RSL1D1,SATB1,SERINC5,SLC40A1,SVIL,TCF7,TESPA1,TMEM204,TRABD2A,TSHZ2,TXK",Peripheral blood
2730,Regulatory T (Treg) cell,"ANXA2P2,ATP2B1,B3GNT2,BIRC3,CASP2,CCDC141,CCM2,CCR10,CCR4,CCR8,CLDND1,CORO7,CORO7-PAM16,CPNE2,ELK3,F5,FAM110A,FANK1,FCMR,FCRL3,FOXP3,GLRX,HAPLN3,HPGD,IKZF2,IL10RA,IL2RA,ISG20,LMNA,METTL7A,PDP1,PI16,REREP3,RNF214,RTKN2,SAMHD1,SELPLG,SNX20,STAM,TBC1D4,TLDC2,TRIM16,TTC39C,TTN,USP15",Peripheral blood
2731,Regulatory T (Treg) cell,"ABI2,ACOT9,ACP5,ACSL4,ACTA2,ACTR3C,ADAM10,ADAT2,ADCY3,ADI1,ADORA2A,ADPRH,AFTPH,AKAP5,AKIP1,AKIRIN2,ALDH3A2,ANKRD10,APLP2,ARHGAP9,ARHGEF12,ARID5B,ARPC1A,ARPC1B,ARPP19,ASB2,ASXL2,ATOX1,ATP13A3,ATP1B1,ATP6V0A1,ATP6V1C2,BACH1,BATF,BEX3,BIRC3,BRE,BRE-AS1,BST2,BTG3,C15orf53,C16orf87,C21orf91,C3AR1,C5orf45,C7orf25,C9orf16,CACYBP,CADM1,CALM3,CARD16,CARD17,CASP1,CBX5,CCDC141,CCDC22,CCDC50,CCND2,CCNG2,CCR1,CCR4,CCR8,CD177,CD27,CD27-AS1,CD58,CD59,CD7,CD70,CD74,CD79B,CD80,CD82,CD83,CDIP1,CDKN1A,CDKN2A,CEACAM1,CKAP2,CLEC7A,CLIP1,CLNK,CMTM6,COG1,COL9A2,COMMD3,COPZ1,CORO1B,COX5A,CREB3L2,CREM,CSF1,CSF2RB,CTLA4,CTNNA1,CTNNB1,CTSA,CTSC,CTSD,CTTNBP2NL,CXCR3,CXCR6,CYTOR,DDB2,DDIT4,DDX24,DNPH1,DPYSL2,DUSP10,DUSP16,DUSP4,DYNC1I2,DYNLL1,DYNLRB1,EBI3,ECH1,EDARADD,EIF4H,ENO1,ENTPD1,ENTPD1-AS1,EPSTI1,ERI1,ETV7,F5,FAM104A,FAM110A,FAM53B,FANCL,FANK1,FAS,FBLN7,FKBP1A,FKBP1A-SDCBP2,FMNL3,FOXO1,FOXP3,FYCO1,GABARAP,GABARAPL1,GABPB1,GADD45A,GADD45G,GALM,GAPDH,GATA3,GBP2,GBP4,GBP5,GCNT1,GK,GLRX,GOLGA8A,GOLGA8B,GOT2,GPI,GPX1,GRAMD3,GRINA,GRN,GSTO1,GTF3C6,HACD1,HADHA,HADHB,HAVCR2,HDAC7,HERPUD1,HLA-DMA,HLA-DQA1,HNRNPLL,HPGD,HPRT1,HPSE,HSD17B10,HSPA1A,HSPA1B,HSPB1,HTATIP2,ICA1,ICAM3,ICOS,IFI6,IFNAR2,IGFLR1,IKZF2,IKZF4,IL10RB,IL12RB1,IL12RB2,IL1R1,IL1R2,IL21R,IL21R-AS1,IL2RA,IL2RB,IL32,INPP1,INPP5F,IRF4,IRF5,IRF9,ISG15,ISOC1,KAT2B,KCNN4,KDM5B,KIF20B,KIF5B,LAIR2,LAP3,LAPTM4A,LAPTM4B,LASP1,LAT2,LAYN,LDLRAD4,LEPROT,LGALS3,LINC00963,LMBRD1,LMCD1,LOC389831,LRPAP1,LRRC61,LTA,LY75,LY75-CD302,LYST,MAF,MAGEH1,MAN1A2,MAP1LC3A,MAP2K3,MAPKAPK3,MAST4,MBOAT7,MCCC2,MCL1,MCM5,METTL7A,METTL8,MGAT1,MICAL2,MIIP,MIR4435-2HG,MIR4632,MIR497HG,MRPS6,MX1,MYO1E,MYO5A,MYO5C,MZB1,NAB1,NAMPT,NAPA,NBR1,NCF4,NCOA3,NDFIP2,NDUFA13,NDUFC2,NDUFC2-KCTD14,NEDD9,NFAT5,NINJ1,NINJ2,NME3,NPC2,NPTN,NSF,NUDT5,OAS1,OAS3,OCIAD2,OS9,OTUD5,P2RY10,PAIP2,PAK2,PARK7,PCK2,PDE4A,PDIA6,PELI1,PGK1,PHACTR2,PHLDA1,PHPT1,PHTF2,PIM2,PIM3,PKM,PLEKHG2,PLTP,PMAIP1,POU2F2,PPM1G,PPP1CB,PRDM1,PRDX1,PRDX3,PRDX5,PRKAR1A,PRNP,PSEN1,PSMA2,PSMB1,PSMB3,PSMB6,PSMC2,PSMD11,PTP4A3,PTPRJ,PTTG1,RAB11FIP1,RAP1A,RBPJ,RCBTB1,REREP3,RFX5,RGS1,RHBDD2,RHOC,RNF187,RPS27L,RTKN2,SAMSN1,SAT1,SCO2,SDC4,SDF4,SEC14L1,SEC61A2,SERPINB9,SERPINE2,SFT2D1,SGMS1,SGPP1,SGSH,SH2D2A,SH3BGRL,SIRPG,SLA,SLAMF1,SLC12A6,SLC16A1,SLC25A38,SLC35F2,SLC3A2,SLC41A1,SLC5A3,SMC4,SMPD3,SMS,SNX9,SOX4,SPATS2L,SPOCK2,SQSTM1,SRA1,SSH1,STAM,STAMBPL1,STARD7,SUMO1,SUOX,SURF4,SYNGR2,TBC1D4,TBC1D8,TET2,TFRC,THADA,TIGIT,TLK1,TM9SF2,TMEM154,TMX1,TNFAIP3,TNFRSF13B,TNFRSF18,TNFRSF1B,TNFRSF4,TNFRSF8,TNFRSF9,TNIP1,TNIP3,TNS3,TOM1,TOX,TOX2,TP53INP1,TPI1,TPMT,TPP1,TRAF1,TRAF3,TRIM69,TRPS1,TSPAN13,TSPYL2,TTN,TTYH3,TULP4,TYMP,UBE2L6,UBE2N,UCP2,UGP2,USP48,UXS1,VAV3,VCP,VDR,VEZT,VMP1,VPS54,WDFY1,WDR83OS,WHRN,WSB1,YJEFN3,ZBED2,ZBTB32,ZC2HC1A,ZC3H12D,ZC3H7A,ZFP36L1,ZNF280C,ZNF292",Liver
2732,T helper cell,"ABCB1,CAPG,CD69,DPP4,DUSP1,GZMK,IFNGR1,PARP8,PVRIG,SLC4A10",Liver
2733,Exhausted CD4+ T cell,"ADAM19,AHI1,AKAP5,AKR1A1,ARHGAP9,ASB2,ATP5C1,ATP6V1A,ATXN1,BATF,BHLHE40-AS1,BST2,BTLA,C9orf16,CAMK1,CAPZB,CCDC50,CD38,CD82,CD84,CDKN2A,CHN1,CKAP2,CLTC,CREM,CTLA4,CTSD,CXCL13,DBNL,DNPH1,DR1,DUSP4,ENTPD1,EPSTI1,ETV7,F2R,FKBP1A-SDCBP2,FUT8,GALM,GAPDH,GBP4,GNG4,GSPT1,HAVCR2,HNRNPK,ICOS,IFI27L2,IFI35,IFNG,IGFLR1,IKZF3,IL21,ITGA2,ITM2A,KCNK5,LAP3,LASP1,LIMA1,LIMS1,LINC00963,LYST,MAF,MAP1LC3A,MAPKAPK3,METTL8,MIR155HG,N4BP2,NAB1,NDFIP2,NMI,NR3C1,NUTF2,OGG1,PDCD1,PDE7B,PHEX,PHTF2,PKM,PRKAG1,PRKAR1A,PSME2,PTPN11,PTTG1,RAB11FIP1,RABGAP1L,RBPJ,RGS1,RGS2,RHBDD2,RILPL2,RNF19A,SARDH,SFXN1,SHFM1,SIRPG,SLC6A6,SLC9A9,SMC5,SPOCK2,SQRDL,SRGN,ST8SIA1,SUSD6,SYNJ1,TBC1D2B,TBXAS1,TIGIT,TMEM2,TNFRSF18,TNFSF8,TOX,TOX2,TPI1,TRAF3,TRPS1,UBE2L6,UNQ6494,UQCRH,WARS,WSB2,ZBED2,ZEB1",Liver
2734,CD4+ cytotoxic T cell,"A2M,ABCA2,ABI3,ADGRG1,ADGRG5,ADRB2,AGPAT4,AHNAK,AKR1C3,APMAP,ARL4C,ARL5A,C12orf75,C1orf21,CCL4,CCL5,CD244,CD300A,CEP78,CHST12,CST7,CTSW,CX3CR1,DSTN,EFHD2,FCGR3A,FCRL6,FGFBP2,FGR,FUT11,GK5,GLUL,GNLY,GSTP1,GZMA,GZMB,GZMH,GZMM,HOPX,KLRG1,LGR6,LILRB1,LINC00612,LITAF,LLGL2,LOC100130872,LPCAT1,LYAR,MBP,MYBL1,MYO1F,NKG7,NPRL2,OSBPL5,PAFAH2,PATL2,PLEK,PLEKHA1,PLEKHG3,PRF1,PROK2,PRSS23,PTCH1,PTGDS,PTPN4,PXN,PZP,RAB29,RAP1B,RAP2B,RASSF1,RUNX3,S1PR5,SAMD3,SH3BP5,SLAMF7,SLC2A1,SPN,SPON2,SUN2,SYNE1,SYNE2,TARP,TGFBR3,TM4SF19,TM4SF19-TCTEX1D2,TMEM181,TTC16,TTC38,VCL,ZEB2,ZEB2-AS1,ZNF683",Liver
2735,Fibroblast,CKAP4,Heart
2736,Microglial cell,"ADORA3,ADRB2,BHLHE41,BIN1,CCL4,KLF2,NAV3,P2RY12,RHOB,SALL1,SIGLEC8,SLC1A3,SPRY1,TAL1",Brain
2737,Macrophage,"ARG2,BHLHE40,CD74,CD93,CIB1,CIITA,CREM,CYBB,CYTH1,DOK3,DSE,EMB,FAM49A,FGR,FOSL2,FPR3,FXYD5,GPR132,GPR65,HLA-DMB,HLA-DQA1,HLA-DRB5,IFITM2,IL10,IL1RN,IQGAP1,ITGA4,KYNU,LYZ,METRNL,MS4A6A,MS4A7,MXD1,NFIL3,PDE4B,PIM1,PLAC8,PLBD1,PLTP,PQLC3,PTPN7,S100A11,SAMHD1,SH3BGRL,SPINT2,SYNGR2,TGFBI,THBD,TMEM123,TNFSF13,TREM1,VOPP1",Brain
2738,Microglial cell,"ADORA3,ADRB2,BHLHE41,BIN1,CCL4,KLF2,NAV3,P2RY12,RHOB,SALL1,SIGLEC8,SLC1A3,SPRY1,TAL1",Brain
2739,Macrophage,"ARG2,BHLHE40,CD74,CD93,CIB1,CIITA,CREM,CYBB,CYTH1,DOK3,DSE,EMB,FAM49A,FGR,FOSL2,FPR3,FXYD5,GPR132,GPR65,HLA-DMB,HLA-DQA1,HLA-DRB5,IFITM2,IL10,IL1RN,IQGAP1,ITGA4,KYNU,LYZ,METRNL,MS4A6A,MS4A7,MXD1,NFIL3,PDE4B,PIM1,PLAC8,PLBD1,PLTP,PQLC3,PTPN7,S100A11,SAMHD1,SH3BGRL,SPINT2,SYNGR2,TGFBI,THBD,TMEM123,TNFSF13,TREM1,VOPP1",Brain
2740,Epidermal stem cell,CD46,Foreskin
2741,Endothelial cell,"CD31,VE-Cadherin",Embryonic brain
2742,Cancer stem cell,"CD13,CD133,CD24,CD44,CD90,EpCAM",Undefined
2743,Myotube,"MYBPH,MYH3,MYOG,TTN",Muscle
2744,Myoblast,"CDC20,CDK1,ID1,ID3,MYOG,PCNA,TTN",Muscle
2745,Liver bud hepatic cell,"AADAC,ABHD14B,ABLIM3,ACN9,ACSL1,AHSP,AIMP2,AK2,AKR1C1,AKR1C2,ALAS2,ALB,ALG8,AMBP,APOH,APOL1,ASNSD1,ASUN,ATP5G1,AZGP1,BHMT2,BID,C14orf105,C19orf33,C1R,C1S,C2orf82,CARHSP1,CASP7,CCL20,CD47,CD58,CDC37L1,CFH,CFHR1,CHCHD2,CKLF,CLDN1,CPB2,CPM,CPNE8,CSRP1,CYP2J2,CYP3A7,CYP4V2,DDX21,DIAPH2,DNAJC12,DPM3,DUSP23,ECT2,EFHD2,EIF1AY,ELOVL5,EMP2,EMP3,ENPP1,ERICH5,ESF1,EVA1A,F5,FAM216A,FARSB,FILIP1L,FKBP4,FKBP5,FSTL3,FTH1,FXYD1,FXYD2,GAL,GBP1,GC,GLIPR1,GLRX2,GMNN,GNAI1,GPX7,GTF3A,H2AFJ,HIST1H2BK,HIST2H2AA4,HP,HPD,HPRT1,HS3ST3B1,HSPB1,HYPK,IDI1,IFI30,IFI6,IFITM3,IFNAR2,IGFBP4,IL1R1,INO80C,IP6K3,IRAK2,ITIH2,KHDRBS3,KLHL2,KYNU,LBP,LECT2,LMCD1,LRRC61,LTV1,LYRM4,MASP2,MBNL1,MCL1,MET,METTL5,MGLL,MRPL33,MRPS28,MT1A,MT1E,MT1F,MT1G,MT1H,MT1HL1,MT1M,MT1X,MT2A,MYC,NDUFAF2,NDUFAF4,NFIC,NIP7,NME1,NMI,NOP16,NR1H4,OPN3,ORM1,ORM2,OSMR,P2RY6,PALMD,PCF11,PCOLCE2,PDLIM7,PID1,PLEK2,PLP2,POLE3,POLE4,POLR3K,PON3,PPIA,PPIF,PRG4,PSME2,PTRH1,RAB27A,RAB31,RAB32,RARRES2,RBP1,RCL1,RHOB,RHOQ,RRAD,RRP15,RSU1,S100A6,SAA1,SAA2,SAA4,SCN9A,SDSL,SEC14L2,SERPINA3,SERPINA4,SERPINB8,SERPINC1,SERPINE1,SERPINF1,SF3B5,SFN,SIRPA,SLC16A7,SLC38A2,SNRPA,SOD2,SP110,SPP2,SPRYD7,SQRDL,STEAP3,SVIP,TGFBI,TGM2,TIMP1,TMEM109,TMEM176A,TMEM176B,TNFSF14,TUBA1B,TUBA4A,TYW3,UGP2,UGT2B4,UGT2B7,VAMP5,VIM",Liver
2746,Mesenchymal cell,"AKAP12,C8orf4,CCDC86,CCL2,CDC42EP2,COTL1,CTSC,DACT1,DKK3,DLK1,EDNRA,FJX1,FOSL1,FSTL3,FXYD6,GADD45B,GPM6B,GPX7,GUCY1B3,HES4,HOXB2,HSPB6,ID3,IGFBP2,IGFBP7,ITGA1,LRRC17,MDK,MPZL1,NDN,NXT1,PDLIM7,PLTP,PRMT1,PTGES2,RAB35,RHBDD2,ROR1,RRP9,SF3A2,SORBS3,SVIL,TMEM98,TOR3A,USP46,WDR1,YRDC,ZBTB1",Liver
2747,Endothelial cell,"APPBP2,ARGLU1,ATP10D,BNIP1,BST2,BTNL9,C11orf96,C3orf58,CCDC85B,CCL14,CD4,CDC73,CDKL1,CHD4,CLEC1B,CLEC2B,CLEC4G,CLEC4M,CRBN,CRHBP,CTSL,DCLRE1C,DLC1,DLG1,DNASE1L3,DOCK1,DUSP5,EFNB2,F8,FCN2,FCN3,FILIP1,FOSB,FXYD6,GBP4,GGA2,GNG11,GPR116,HES1,HYI,IL1R1,IL33,KIF1B,KLHL28,LDB2,MCM3AP,MEF2C,MFN1,MGAT5,MPZL3,MRC1,OIT3,PIK3C2A,PPAP2B,PPWD1,RASGEF1B,RASGRP3,RELN,RIN2,SECISBP2L,STAB1,STAB2,STRN3,TCF12,TEX264,TRAPPC11,TSPAN7,USP48,ZNF286B",Liver
2748,Lymphoblast,LEF1,Fetal liver
2749,Erythroblast,GYPA,Fetal liver
2750,Hepatocyte,CYP2C9,Liver
2751,Endothelial cell,FLT1,Fetal liver
2752,Kupffer cell,CD163,Fetal liver
2753,Mesenchymal cell,COL1A2,Fetal liver
2754,Hepatocyte,AFP,Fetal liver
2755,Basal cell,"ACKR3,ADH7,ANXA8,ANXA8L1,AQP3,ARL4D,ATP1B3,BMP7,C10orf99,C16orf74,CAPG,CAV1,CCND2,CD109,CLCA2,CLCA4,CLDN1,COL17A1,CSTA,DAPL1,DSC3,DSG3,DUSP7,FABP5,FABP5P3,FAT2,FBLN1,FGFBP1,FYB,GJB3,GLTP,GM2A,GPC1,GPNMB,GPX2,HSPB1,IFI27L2,IGFBP6,IL1RN,IL20RB,ITGA6,JUP,KRT13,KRT14,KRT15,KRT16,KRT17,KRT4,KRT5,KRT6A,KRT6B,KRT6C,LAD1,LGALS7,LGALS7B,LOXL4,LY6D,LYPD3,MMP28,MT1X,NOTCH1,NRARP,NXN,PGM2,PHLDA3,PKP1,PKP3,PLAT,PLP2,POLR2J3,PPP1R13L,PTTG1,PVRL1,RAB38,RARG,S100A10,S100A14,S100A16,S100A2,S100A8,SDC1,SERPINB1,SERPINB13,SERPINB2,SERPINB5,SFN,SH3BGRL3,SOX15,SPINK5,SPRR1A,SPRR1B,THBD,TIMP1,TMEM43,TNS4,TP63,TRIM7,TUBB6,UPK3BL,WNT10A,ZNF385A,ZYX",Lung
2756,Secretory cell,"ALDH1A3,AMOTL2,ANPEP,ANTXR1,C3,CA13,CAPN13,CD74,CEACAM6,CFB,CFH,CILP,CP,CPD,CREB3L1,CTSC,CX3CL1,CXCL1,CXCL2,CXCL6,CXCL8,CYFIP2,DTX4,FNDC3B,GABRP,HLA-A,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB6,IFITM1,IFITM3,IL1R1,KNCN,LGALS9,LYPD2,MSMB,MUC5B,NCCRP1,PDZK1IP1,PGLYRP4,PI3,PIGR,PITX2,PLK2,PODXL,PPP1R16B,PRR5L,PRSS23,RARRES1,RARRES3,SCGB1A1,SCGB3A1,SELM,SERPINA3,SERPINB7,SLC26A2,SLC34A2,SLC4A4,SLC6A14,SLPI,STEAP4,TGM2,TMEM45A,UBD,VGLL1,VMO1,XBP1,ZG16B",Lung
