,cell_type,marker,tissue
2284,Cancer stem cell,"BMI1,CD117,CD34,CD38,CD44,CD47,CD96,GLI1,GLI2,CD123,CLEC12A,Musashi-2,TIM-3",Undefined
2285,Cancer stem cell,"AFP,CD13,CD45,CD90,NF2",Undefined
2286,Cancer stem cell,"ABCG2,AldehydeDehydrogenase1-A1,CD117,CD90,EpCAM",Undefined
2287,Cancer stem cell,"ABCB5,ABCG2,CD166,CD133,CD20,Nestin,NGFR",Undefined
2288,Cancer stem cell,"ABCB5,CD19,CD20,CD27,CD38,CD138",Undefined
2289,Cancer stem cell,"ABCG2,CD44,CD105,Nestin,STRO-1",Undefined
2290,Cancer stem cell,"AMACR,CD117,CD44,CD105,Ovastacin",Undefined
2291,Cancer stem cell,"AldehydeDehydrogenase1-A1,BMI1,CD24,CD44,CXCR4,EpCAM,PON1",Undefined
2292,Cancer stem cell,"ABCG2,CD166,ALDH1A1,AMACR,BMI1,CD151,CD44,c-Maf,c-Myc,TRA-1-60",Undefined
2293,Cardiac progenitor cell,"ABCG2,CD117,CD34,ETV2,GATA4,CD29,ISLET-1,NKX2.5,SCA-1,SCF,SSEA-1,TBX18,WT1",Heart
2294,Cardiomyocyte,"alpha-Sarcoglycan,ANP,Beta-Sarcoglycan,BMP4,GJA4,GJA5,Cripto,Desmin,epsilon-Sarcoglycan,FABP3,GATA4,GATA6,HCN4,KIR2.1,LRG1,MEF2C,MYH6,MYH7,MyosinHeavyChain,NKX2.5,TBX5,TroponinT",Heart
2295,Cardiomyocyte,PCM1,Undefined
2296,CD4+ T cell,"CD127,CD134,CD137,CD154,CD2,CD25,CD27,CD272,CD28,CD3,CD4,CD45RA,CD45RO,CD5,CD62,CD69,CD7,CTLA4,PD-1",Undefined
2297,CD4+ T cell,"CD3,CD4",Blood
2298,CD4+ T helper cell,"CD3,CD4,CD45",Peripheral blood
2299,CD4+CD25+ regulatory T cell,"CD25,CD3,CD4,CD45",Peripheral blood
2300,CD8+ T cell,"CD2,CD25,CD27,CD28,CD3,CD5,CD7,CD8",Undefined
2301,CD8+ cytotoxic T cell,"CD107a,CD178,CD253,CD3,CD8,GranzymeB,IFN-gamma,Perforin,TNF-alpha",Undefined
2302,CD8+ T cell,"CD3,CD8",Blood
2303,CD8+ cytotoxic T cell,"CD3,CD8",Peripheral blood
2304,Central memory T cell,"CCR7,CD127,CD197,CD27,CD28,CD45RO,CD62L,CD62L,EOMES,T-bet",Undefined
2305,Cholinergic neuron,"Acetylcholinesterase,Cholineacetyltransferase,Vesicularacetylcholinetransporter",Undefined
2306,Common lymphoid progenitor,"CD10,CD34,CD38",Germ
2307,Common lymphoid progenitor,"CD10,CD34,CD38,CD45RA",Undefined
2308,Common myeloid progenitor,"CD10,CD135,CD34,CD38,CD45RA,CD7,CD90",Undefined
2309,Conventional dendritic cell,"CD11c,CD135,CD14,CD141,CD172a,CD197,CD1b,CD1c,CD205,CD206,CD207,CD273,CD282,CD284,CD289,CD369,CD370,CD40,CD49d",Undefined
2310,Cytotoxic T cell,"CD10,CD127,CD165,CD1a,CD200,CD3,CD34,CD38,CD45RA,CD45RO,CD5,CD62,CD7,CD8,Flt3,GranzymeA,GranzymeB,TCRalpha/beta",Undefined
2311,Cytotoxic T cell,"CD8,IFN-gamma,LT-alpha,TNF",Undefined
2312,Definitive endoderm cell,CD184,Germ
