"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Bone","Osteoblast","Normal","CD105","Experiment","1","more details"
"Human","Bone","Osteoblast","Normal","CD90","Experiment","1","more details"
"Human","Bone","Osteoclast","Normal","CD56, RUNX2","Experiment","1","more details"
"Human","Bone","Osteoclast","Normal","CTR, CTSK, TRAP","Experiment","1","more details"
"Human","Bone","Osteoclast","Normal","CTR, TRAP","Experiment","1","more details"
"Human","Bone","Osteoclast","Normal","CTSK, RANK, TRAP","Experiment","1","more details"
"Human","Bone","Osteoclast","Normal","CTSK, TRAP","Experiment","1","more details"
"Human","Bone","Osteoclast","Normal","SOFAT","Experiment","1","more details"
"Human","Bone","Osteocyte","Normal","CD44","Experiment","1","more details"
"Human","Bone","Osteocyte","Normal","CX43","Experiment","1","more details"
"Human","Bone","Osteocyte","Normal","DMP1, E11, MEPE, PHEX, SOST","Experiment","1","more details"
"Human","Bone","Osteocyte","Normal","DMP1, E11","Experiment","1","more details"
"Human","Bone","Osteocyte","Normal","DMP1","Experiment","1","more details"
"Human","Bone","Progenitor cell","Normal","CD105, CD44, CD73, CD90, STRO-1","Experiment","1","more details"
"Human","Bone","Stem cell","Normal","Bone sialoprotein, OSX, RUNX2","Experiment","1","more details"
"Human","Bone","Stem cell","Normal","CD105, CD90","Experiment","1","more details"
"Human","Bone","Stem cell","Normal","CD146, CD34, CD45, STRO-1","Experiment","1","more details"
"Human","Bone","Stem cell","Normal","CD73, CD90","Experiment","1","more details"
"Human","Bone","Stem cell","Normal","STRO-1","Experiment","1","more details"
"Human","Bone","Osteocyte","Osteosarcoma","SOST","Experiment","1","more details"
"Human","Brain","Cancer cell","Brain Cancer","CD44","Experiment","1","more details"
"Human","Brain","Cancer stem cell","Brain cancer","CD133","Experiment","1","more details"
"Human","Brain","Cancer cell","Glioblastoma","PARP1","Experiment","1","more details"
"Human","Brain","Cancer stem-like cell","Glioblastoma","CDH5","Experiment","1","more details"
"Human","Brain","Cancer stem cell","Glioblastoma","CADM1, CLCC1, HMOX1, SCAMP3, SLC16A1","Experiment","1","more details"
"Human","Brain","Cancer stem cell","Glioblastoma","CD133, CD15","Experiment","1","more details"
"Human","Brain","Cancer stem cell","Glioblastoma","CD133, NANOG, SOX2","Experiment","1","more details"
"Human","Brain","Cancer stem cell","Glioblastoma","CD133, Nestin","Experiment","1","more details"
"Human","Brain","Cancer stem cell","Glioblastoma","CD90, GD2","Experiment","1","more details"
"Human","Brain","Cancer cell","Glioma","IFAP","Experiment","1","more details"
"Human","Brain","Cancer stem-like cell","Glioma","CD15","Experiment","1","more details"
"Human","Brain","Cancer stem cell","Glioma","BMI1, CD133, GLUT3, Musashi-1, Nestin, SOX2","Experiment","1","more details"
"Human","Brain","Cancer stem cell","Glioma","CD133, CD15, CD90","Experiment","1","more details"
"Human","Brain","Cancer stem cell","Glioma","CD133, Nestin","Experiment","1","more details"
"Human","Brain","Cancer stem cell","Glioma","CD133","Experiment","1","more details"
"Human","Brain","Cancer stem cell","Glioma","HOXD9","Experiment","1","more details"
"Human","Brain","Regulatory T (Treg) cell","Intracranial Aneurysm","CD25, CD4","Experiment","1","more details"
"Human","Brain","T helper1 (Th1) cell","Intracranial Aneurysm","CCR6, CXCR3","Experiment","1","more details"
"Human","Brain","T helper17 (Th17) cell","Intracranial Aneurysm","CCR6, CXCR3","Experiment","1","more details"
"Human","Brain","T helper2 (Th2) cell","Intracranial Aneurysm","CCR6, CXCR3","Experiment","1","more details"
"Human","Brain","T cell","Lymphoma","CD45RO","Experiment","1","more details"
"Human","Brain","Astrocyte","Normal","ALDH1L1, GFAP, NFIA, S100-B","Experiment","1","more details"
"Human","Brain","Astrocyte","Normal","SOX9","Experiment","1","more details"
"Human","Brain","B cell","Normal","CD20","Experiment","1","more details"
"Human","Brain","Endothelial cell","Normal","CD106, CD31","Experiment","1","more details"
"Human","Brain","Endothelial cell","Normal","CD31, VE-cadherin, von Willebrand factor","Experiment","1","more details"
"Human","Brain","Endothelial cell","Normal","von Willebrand factor","Experiment","1","more details"
"Human","Brain","Glial cell","Normal","GFAP, S100","Experiment","1","more details"
"Human","Brain","Glutamatergic neuron","Normal","VGLUT1, VGLUT2","Experiment","1","more details"
"Human","Brain","M1 macrophage","Normal","TSPO","Experiment","1","more details"
"Human","Brain","M2 macrophage","Normal","CD163","Experiment","1","more details"
"Human","Brain","Macrophage","Normal","CD68, IBA1","Experiment","1","more details"
"Human","Brain","Microglial cell","Normal","CD68","Experiment","1","more details"
"Human","Brain","Neural progenitor cell","Normal","CD271, GFAPdelta","Experiment","1","more details"
"Human","Brain","Neural progenitor cell","Normal","DCX, NeuroD, PSA-NCAM, SOX2, TUC4","Experiment","1","more details"
"Human","Brain","Neural progenitor cell","Normal","GPR56","Experiment","1","more details"
"Human","Brain","Neural progenitor cell","Normal","KSCNS3, NGFR, SLITRK6","Experiment","1","more details"
"Human","Brain","Neural progenitor cell","Normal","Nestin","Experiment","1","more details"
"Human","Brain","Neural stem cell","Normal","CD133","Experiment","1","more details"
"Human","Brain","Neural stem cell","Normal","DCX, NeuroD, PSA-NCAM, SOX2, TUC4","Experiment","1","more details"
"Human","Brain","Neural stem cell","Normal","GPR56","Experiment","1","more details"
"Human","Brain","Neural stem cell","Normal","KSCNS3, NGFR, SLITRK6","Experiment","1","more details"
"Human","Brain","Neural stem cell","Normal","Nestin","Experiment","1","more details"
"Human","Brain","Neural stem cell","Normal","SOX1, SOX2, SOX9","Experiment","1","more details"
"Human","Brain","Neuron","Normal","DCL","Experiment","1","more details"
"Human","Brain","Neuron","Normal","GFAP, MAP2, Nestin","Experiment","1","more details"
"Human","Brain","Neuron","Normal","MARK4","Experiment","1","more details"
"Human","Brain","Neuron","Normal","MHC class I","Experiment","1","more details"
"Human","Brain","Neutrophil","Normal","MPO","Experiment","1","more details"
"Human","Brain","Oligodendrocyte progenitor cell","Normal","A2B5, NG2, OLIG2, PDGFR-alpha","Experiment","1","more details"
"Human","Brain","Oligodendrocyte progenitor cell","Normal","NG2","Experiment","1","more details"
"Human","Brain","Oligodendrocyte","Normal","NOGO","Experiment","1","more details"
"Human","Brain","Pericyte","Normal","alpha-SMA","Experiment","1","more details"
"Human","Brain","Pericyte","Normal","NG2","Experiment","1","more details"
"Human","Brain","Purkinje cell","Normal","KIAA0864","Experiment","1","more details"
"Human","Brain","Stem cell","Normal","LGR5","Experiment","1","more details"
"Human","Brain","Stem cell","Normal","Nestin, PAX6, SOX1, SOX2","Experiment","1","more details"
"Human","Brain","T helper2 (Th2) cell","Normal","CD30","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH, CD44","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1, CD133, CD24, CD44","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1, CD133","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ALDH1A3, SOX2","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","c-Kit, CD10, CD133, CD24, CD34, CD44, EpCAM, OCT3/4, P63, SOX2","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD133, CD15, CD24, CD44","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD133, EpCAM","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD133, ESA","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD24, CD44, CD49f, EpCAM","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD24, CD44, VEGF","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD24","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD44, Feline sarcoma-related tyrosine kinase","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD44, OCT4","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","CD44, SOX2, OCT4","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","EpCAM","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","ESA, PROCR","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","GD2","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","GLI1, LSD1, SOX2","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","LGR5","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","Nectin-4","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Breast Cancer","SOX2","Experiment","1","more details"
"Human","Breast","Cancer stem cell","Ductal Breast Carcinoma","GLI1","Experiment","1","more details"
"Human","Breast","Basal epithelial cell","Normal","Vimentin","Experiment","1","more details"
"Human","Breast","Basal progenitor cell","Normal","CD24, CD44, CD49f, EpCAM","Experiment","1","more details"
"Human","Breast","Epithelial cell","Normal","CD117, CD166","Experiment","1","more details"
"Human","Breast","Epithelial cell","Normal","Cytokeratin-18","Experiment","1","more details"
"Human","Breast","Epithelial cell","Normal","Cytokeratin, EMA, GCDFP15","Experiment","1","more details"
"Human","Breast","Epithelial cell","Normal","P63, SMA","Experiment","1","more details"
"Human","Breast","Epithelial progenitor cell","Normal","CD24, CD44","Experiment","1","more details"
"Human","Breast","Hematopoietic stem cell","Normal","CD117, CD133, CD34","Experiment","1","more details"
"Human","Breast","Immune cell","Normal","CD13, CD14, CD209, CD45, CD83, CD86, HLA-DR","Experiment","1","more details"
"Human","Breast","Luminal epithelial cell","Normal","CK18, EMA","Experiment","1","more details"
"Human","Breast","Luminal epithelial cell","Normal","Cytokeratin-19","Experiment","1","more details"
"Human","Breast","Luminal epithelial cell","Normal","ESA, MUC","Experiment","1","more details"
"Human","Breast","Luminal progenitor","Normal","c-Kit","Experiment","1","more details"
"Human","Breast","Luminal progenitor","Normal","CD24, CD44, CD49f, EpCAM","Experiment","1","more details"
"Human","Breast","Mesenchymal stem cell","Normal","CD105, CD73, CD90","Experiment","1","more details"
"Human","Breast","Myoepithelial cell","Normal","Alkaline phosphatase","Experiment","1","more details"
"Human","Breast","Myoepithelial cell","Normal","Calponin, CD10, Cytokeratin-14, P63, SMA","Experiment","1","more details"
"Human","Breast","Myoepithelial cell","Normal","Calponin, P-cadherin, P63","Experiment","1","more details"
"Human","Breast","Myoepithelial cell","Normal","CD29, CD44","Experiment","1","more details"
"Human","Breast","Myoepithelial cell","Normal","Galectin-7","Experiment","1","more details"
"Human","Breast","Myoepithelial cell","Normal","P63, SMA","Experiment","1","more details"
"Human","Breast","Natural killer cell","Normal","CD56","Experiment","1","more details"
"Human","Breast","Progenitor cell","Normal","CD24, CD44, CD49f, EpCAM","Experiment","1","more details"
"Human","Breast","Progenitor cell","Normal","CD24, CD44","Experiment","1","more details"
"Human","Breast","Progenitor cell","Normal","CD24, CD49f","Experiment","1","more details"
"Human","Breast","Progenitor cell","Normal","CD29, CD44, CD49f, P63","Experiment","1","more details"
"Human","Bronchoalveolar system","Eosinophil","Normal","EPO","Experiment","1","more details"
"Human","Bronchoalveolar system","Neutrophil","Normal","HNL","Experiment","1","more details"
"Human","Brown adipose tissue","Mesenchymal stem cell","Normal","PGC-1-alpha, UCP1","Experiment","1","more details"
"Human","Cartilage","Cartilage progenitor cell","Normal","CD146, COL2","Experiment","1","more details"
"Human","Cartilage","Cartilage progenitor cell","Normal","CD146","Experiment","1","more details"
"Human","Cartilage","Chondrocyte","Normal","AGC1, COL2A1, SOX9","Experiment","1","more details"
"Human","Cartilage","Chondrocyte","Normal","Aggrecan, COL2A1, COMP","Experiment","1","more details"
"Human","Cartilage","Mesenchymal progenitor cell","Normal","CD146","Experiment","1","more details"
"Human","Cartilage","Mesenchymal progenitor cell","Normal","CD166","Experiment","1","more details"
"Human","Cartilage","Mesenchymal stem cell","Normal","CD105, CD73","Experiment","1","more details"
"Human","Cartilage","Mesenchymal stem cell","Normal","CD146","Experiment","1","more details"
"Human","Cartilage","Stem cell","Normal","CD105, CD166, CD90, OCT3/4, STRO-1","Experiment","1","more details"
"Human","Cartilage","Stem cell","Normal","CD146","Experiment","1","more details"
"Human","Cartilage","Stem cell","Normal","CD44, CD73, CD9, CD90","Experiment","1","more details"
"Human","Cartilage","Stem cell","Normal","STRO-1","Experiment","1","more details"
"Human","Chorionic villus","Mesenchymal stem cell","Normal","CD34, CD44, CD45","Experiment","1","more details"
"Human","Chorionic villus","Villous stromal cell","Normal","NOV, CYR61","Experiment","1","more details"
"Human","Colon","Cancer stem cell","Colon Cancer","ABCG2, ALDH1, CD44","Experiment","1","more details"
"Human","Colon","Cancer stem cell","Colon Cancer","ALDH1A1, CD133, CD166, CD44, LGR5","Experiment","1","more details"
"Human","Colon","Cancer stem cell","Colon Cancer","CD133, CD44, NANOG, Oct3/4","Experiment","1","more details"
"Human","Colon","Cancer stem cell","Colon Cancer","CD166, CD24, CD44","Experiment","1","more details"
"Human","Colon","Cancer stem cell","Colon Cancer","CD44","Experiment","1","more details"
"Human","Colon","Cancer stem cell","Colon Cancer","CD66c","Experiment","1","more details"
"Human","Colon","Cancer stem cell","Colon Cancer","DCLK1","Experiment","1","more details"
"Human","Colon","Tumor endothelial cell","Colon Cancer","SBSN","Experiment","1","more details"
"Human","Colon","Cancer stem cell","Colorectal Cancer","CD133, CD166, CD24, CD44","Experiment","1","more details"
"Human","Colon","Cancer stem cell","Colorectal Cancer","CD166","Experiment","1","more details"
"Human","Colon","Cancer stem cell","Colorectal Cancer","CD66c","Experiment","1","more details"
"Human","Colon","CD4+ T cell","Normal","CCR6","Experiment","1","more details"
"Human","Colon","Colonic stem cell","Normal","PTK7","Experiment","1","more details"
"Human","Colon","Endocrine cell","Normal","Chromogranin","Experiment","1","more details"
"Human","Colon","Intestinal stem cell","Normal","DCLK1","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","ALDH1, CD133, CD166, CD44, EpCAM","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","ALDH1, CD133","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","ALDH1","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","CD133, CD166, CD44","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","CD133, CD44, NANOG, OCT3/4","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","CD134, CD44","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","CD166, CD24, CD44","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","CD166","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","CD44, CD133, LGR5, SOX2","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","CD66c","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","DCLK1","Experiment","1","more details"
"Human","Colorectum","Cancer stem cell","Colorectum Cancer","LGR5","Experiment","1","more details"
"Human","Colorectum","Regulatory T (Treg) cell","Colorectum Cancer","FOXP3","Experiment","1","more details"
"Human","Colorectum","T cell","Colorectum Cancer","CD3","Experiment","1","more details"
"Human","Cornea","Endothelial cell","Normal","CD105, CD106, CD112, CD146, CD166, CD325, CD34, CD44, CD47, CD54, CD73, CD90","Experiment","1","more details"
"Human","Cornea","Endothelial cell","Normal","LGR5","Experiment","1","more details"
"Human","Cornea","Epithelial cell","Normal","Keratin-3","Experiment","1","more details"
"Human","Corneal endothelium","Corneal endothelial cell","Normal","CD133, type IV collagen, VEGF, VEGFR-1","Experiment","1","more details"
"Human","Corneal endothelium","Fibroblast","Normal","TGF-beta, alpha-smooth muscle actin","Experiment","1","more details"
"Human","Corneal endothelium","Hematopoietic stem cell","Normal","CD133, CD34, c-Kit","Experiment","1","more details"
"Human","Corneal endothelium","Mesenchymal stem cell","Normal","Integrin beta-1, STRO-1, TGF-beta, Vimentin","Experiment","1","more details"
"Human","Corneal epithelium","Epithelial cell","Normal","KLF6","Experiment","1","more details"
"Human","Corneal epithelium","Epithelial progenitor cell","Normal","P75","Experiment","1","more details"
"Human","Corneal epithelium","Epithelial stem cell","Normal","P75","Experiment","1","more details"
"Human","Corneal epithelium","Limbal stem cell","Normal","CK15, SOD2","Experiment","1","more details"
"Human","Corneal epithelium","Progenitor cell","Normal","Integrin beta-1, P63","Experiment","1","more details"
"Human","Corpus luteum","Endothelial cell","Normal","CD34","Experiment","1","more details"
"Human","Decidua","Trophoblast cell","Normal","Cytokeratin","Experiment","1","more details"
"Human","Deciduous tooth","Dental pulp stem cell","Normal","CD34, CD45, CD146, STRO-1","Experiment","1","more details"
"Human","Deciduous tooth","Stem cell","Normal","CD105, CD29, CD90","Experiment","1","more details"
"Human","Deciduous tooth","Stem cell","Normal","CD105, CD44, CD73, CD90","Experiment","1","more details"
"Human","Dental pulp","Dental pulp cell","Normal","CD105, CD166, CD73, CD90, STRO-1","Experiment","1","more details"
"Human","Dental pulp","Dental pulp stem cell","Normal","3C4","Experiment","1","more details"
"Human","Dental pulp","Dental pulp stem cell","Normal","ALDH1, CD44, CD45, CD73, CD90, STRO-1","Experiment","1","more details"
"Human","Dental pulp","Dental pulp stem cell","Normal","ALDH1","Experiment","1","more details"
"Human","Dental pulp","Dental pulp stem cell","Normal","CD105, CD29, CD44, CD73","Experiment","1","more details"
"Human","Dental pulp","Dental pulp stem cell","Normal","Mitofilin","Experiment","1","more details"
"Human","Dental pulp","Mesenchymal stem cell","Normal","CD105, CD44, CD73, CD90","Experiment","1","more details"
"Human","Dental pulp","Mesenchymal stem cell","Normal","CD105, STRO-1","Experiment","1","more details"
"Human","Dental pulp","Mesenchymal stem cell","Normal","CD133, CD34, CD45, Nestin, OCT3/4, STRO-1","Experiment","1","more details"
"Human","Dental pulp","Stem cell","Normal","CD105, CD146, CD166, CD44, CD73, CD90, STRO-1, Vimentin","Experiment","1","more details"
"Human","Dental pulp","Stem cell","Normal","CD105, CD166, CD29, CD73, CD90","Experiment","1","more details"
"Human","Dental pulp","Stem cell","Normal","CD105, CD166, CD73, CD90, STRO-1","Experiment","1","more details"
"Human","Dental pulp","Stem cell","Normal","CD105","Experiment","1","more details"
"Human","Dental pulp","Stem cell","Normal","CD146, CD34, CD45, STRO-1","Experiment","1","more details"
"Human","Dental pulp","Stem cell","Normal","NANOG, OCT3/4, SOX2","Experiment","1","more details"
"Human","Dental pulp","Stem cell","Normal","Nestin, Nucleostemin, SOX2","Experiment","1","more details"
"Human","Dermis","Osteogenic precursor-like cell","Normal","BMPRIB","Experiment","1","more details"
"Human","Dorsolateral prefrontal cortex","Glutamatergic neuron","Normal","BDNF, CAMKII-alpha, TBR1","Experiment","1","more details"
"Human","Dorsolateral prefrontal cortex","Interstitial cell","Normal","NADPH","Experiment","1","more details"
"Human","Duodenum","Endocrine cell","Normal","Chromogranin","Experiment","1","more details"
"Human","Embryo","Germ cell","Gonadoblastoma","OCT4","Experiment","1","more details"
"Human","Embryo","Astroglial progenitor cell","Normal","PBXIP1","Experiment","1","more details"
"Human","Embryo","Cancer stem cell","Normal","CD133, CD44, SOX2","Experiment","1","more details"
"Human","Embryo","Embryonic stem cell","Normal","CD15, FORSE1, HNK1, P75","Experiment","1","more details"
"Human","Embryo","Embryonic stem cell","Normal","LEFTYA, NANOG, OCT4, REX1, SOX2, TERT","Experiment","1","more details"
"Human","Embryo","Embryonic stem cell","Normal","LIN28, NANOG, SOX2","Experiment","1","more details"
"Human","Embryo","Embryonic stem cell","Normal","NANOG, OCT4, SOX2, SSEA-3, SSEA-4, TRA-1-60","Experiment","1","more details"
"Human","Embryo","Embryonic stem cell","Normal","NANOG, OCT4, SOX2, SSEA1","Experiment","1","more details"
"Human","Embryo","Embryonic stem cell","Normal","NANOG, OCT4, SOX2","Experiment","1","more details"
"Human","Embryo","Embryonic stem cell","Normal","OCT3/4","Experiment","1","more details"
"Human","Embryo","Embryonic stem cell","Normal","SSEA-3, SSEA-4, TRA-1-60, TRA-1-81","Experiment","1","more details"
"Human","Embryo","Endothelial cell","Normal","CD31","Experiment","1","more details"
"Human","Embryo","Endothelial cell","Normal","VWF","Experiment","1","more details"
"Human","Embryo","Germ cell","Normal","BMP15, GDF9, MATER, VASA, ZAR1","Experiment","1","more details"
"Human","Embryo","Germ cell","Normal","DAZL, STELLA","Experiment","1","more details"
"Human","Embryo","Germ cell","Normal","DAZL","Experiment","1","more details"
"Human","Embryo","Germ cell","Normal","NANOG, POU5F1, PRDM1, TFAP2C","Experiment","1","more details"
"Human","Embryo","Hematopoietic stem cell","Normal","ACE","Experiment","1","more details"
"Human","Embryo","Mesenchymal stem cell","Normal","CD105, CD13, CD34, CD73, CD90","Experiment","1","more details"
"Human","Embryo","Neuron","Normal","FE65","Experiment","1","more details"
"Human","Embryo","Neuron","Normal","NeuN","Experiment","1","more details"
"Human","Embryo","Pancreatic progenitor cell","Normal","GLUT2","Experiment","1","more details"
"Human","Embryo","Pluripotent stem cell","Normal","Alkaline phosphatase, OCT4, SSEA-1, SSEA-3, SSEA-4, TRA-1-60","Experiment","1","more details"
"Human","Embryo","Pluripotent stem cell","Normal","OCT4","Experiment","1","more details"
"Human","Embryo","Spermatogonial stem cell","Normal","THY1","Experiment","1","more details"
"Human","Embryo","Unrestricted somatic stem cell","Normal","CD105, CD166, CD31, CD34, CD45, CD90","Experiment","1","more details"
"Human","Embryoid body","Pluripotent stem cell","Normal","TNAP","Experiment","1","more details"
"Human","Embryonic stem cell","Alveolar epithelial progenitor cell","Normal","Carboxypeptidase M","Experiment","1","more details"
"Human","Embryonic stem cell","Cardiac progenitor cell","Normal","ALCAM, VCAM1, SIRPA","Experiment","1","more details"
"Human","Embryonic stem cell","Cardiomyocyte","Normal","ALCAM, VCAM1, SIRPA","Experiment","1","more details"
"Human","Embryonic stem cell","Cardiomyocyte","Normal","CD106","Experiment","1","more details"
"Human","Embryonic stem cell","Cardiomyocyte","Normal","SIRPA","Experiment","1","more details"
"Human","Embryonic stem cell","Corneal epithelial progenitor cell","Normal","ABCG2","Experiment","1","more details"
"Human","Embryonic stem cell","Embryonic stem cell","Normal","CD9, CDH3, EpCAM, GCTM-2","Experiment","1","more details"
"Human","Embryonic stem cell","Embryonic stem cell","Normal","SSEA-1, SSEA-3, TRA-1-81","Experiment","1","more details"
"Human","Embryonic stem cell","Endocrine cell","Normal","CD200","Experiment","1","more details"
"Human","Embryonic stem cell","Endocrine cell","Normal","CD318","Experiment","1","more details"
"Human","Embryonic stem cell","Endothelial cell","Normal","CD31","Experiment","1","more details"
"Human","Embryonic stem cell","Fibroblast","Normal","CD90","Experiment","1","more details"
"Human","Embryonic stem cell","Mesenchymal stem cell","Normal","CD105, CD34, CD44, CD73, CD90, HLA-ABC, HLA-DR","Experiment","1","more details"
"Human","Embryonic stem cell","Mesenchymal stem cell","Normal","CD105, CD73, CD90","Experiment","1","more details"
"Human","Embryonic stem cell","Pancreatic endoderm cell","Normal","CD142","Experiment","1","more details"
"Human","Embryonic stem cell","Pancreatic progenitor cell","Normal","GLUT2","Experiment","1","more details"
"Human","Embryonic stem cell","PDX1+ pancreatic progenitor cell","Normal","CD24, PDX1","Experiment","1","more details"
"Human","Embryonic stem cell","Primordial germ cell","Normal","CD38, TNAP","Experiment","1","more details"
"Human","Embryonic stem cell","Progenitor cell","Normal","Prominin-1","Experiment","1","more details"
"Human","Embryonic stem cell","Retinal ganglion cell","Normal","THY1","Experiment","1","more details"
"Human","Embryonic stem cell","Vascular smooth muscle cell","Normal","CD140b","Experiment","1","more details"
"Human","Endometrium stroma","Endometrial stromal stem cell","Normal","CD29, CD34, CD45, CD90","Experiment","1","more details"
"Human","Endometrium","Cancer stem-like cell","Endometrial Cancer","CD133, CXCR4","Experiment","1","more details"
"Human","Endometrium","Endometrial progenitor cell","Endometrial Cancer","IPO13","Experiment","1","more details"
"Human","Endometrium","Endometrial stem cell","Endometrial Cancer","IPO13","Experiment","1","more details"
"Human","Endometrium","Cancer stem cell","Normal","CD133, CD44","Experiment","1","more details"
"Human","Endometrium","Cytotrophoblast","Normal","CEACAM1","Experiment","1","more details"
"Human","Endometrium","Endometrial stem cell","Normal","ABCG2, CD105, CD106, CD117, CD133, CD140b, CD146, CD166, CD29, CD31, CD34, CD44, CD45, CD49d, CD54, CD73, CD90, Nestin, OCT4, SOX2, SSEA-4","Experiment","1","more details"
"Human","Endometrium","Endometrial stem cell","Normal","LGR5","Experiment","1","more details"
"Human","Endometrium","Endometrial stem cell","Normal","MSI1","Experiment","1","more details"
"Human","Endometrium","Epithelial cell","Normal","SSEA-1","Experiment","1","more details"
"Human","Endometrium","Mesenchymal stem cell","Normal","CD105, CD14, CD166, CD34, CD45, CD73, CD90, HLA-ABC, HLA-DR, MHC class I","Experiment","1","more details"
"Human","Endometrium","Mesenchymal stem cell","Normal","CD105, CD90","Experiment","1","more details"
"Human","Endometrium","Somatic stem cell","Normal","LGR5","Experiment","1","more details"
"Human","Endometrium","Stem cell","Normal","CD105, CD166, CD73, CD90, HLA-ABC","Experiment","1","more details"
"Human","Endometrium","Stem cell","Normal","CD117, NANOG, OCT4, SSEA-4","Experiment","1","more details"
"Human","Endometrium","Stem cell","Normal","CD144, CD31, CD34, Musashi-1, OCT4","Experiment","1","more details"
"Human","Endometrium","Stem cell","Normal","KIF4, NANOG, OCT4, SOX2","Experiment","1","more details"
"Human","Endometrium","Stem cell","Normal","LGR5","Experiment","1","more details"
"Human","Endometrium","Trophoblast cell","Normal","CEACAM1","Experiment","1","more details"
"Human","Epithelium","Basal cell","Normal","CD151","Experiment","1","more details"
"Human","Epithelium","Basal cell","Normal","Cytokeratin-5","Experiment","1","more details"
"Human","Epithelium","Basal cell","Normal","TAZ","Experiment","1","more details"
"Human","Epithelium","Epithelial cell","Normal","CD31, CD34","Experiment","1","more details"
"Human","Epithelium","Epithelial cell","Normal","EpCAM","Experiment","1","more details"
"Human","Epithelium","Keratinocyte","Normal","CD34","Experiment","1","more details"
"Human","Esophagus","Cancer cell","Esophageal Adenocarcinoma","TGM2","Experiment","1","more details"
"Human","Esophagus","Intestinal stem cell","Esophageal Adenocarcinoma","DCLK1","Experiment","1","more details"
"Human","Esophagus","Stem cell","Esophageal Adenocarcinoma","DCLK1","Experiment","1","more details"
"Human","Esophagus","Esophageal mucosal cell","Normal","DCLK1","Experiment","1","more details"
"Human","Esophagus","Intestinal stem cell","Normal","DCLK1","Experiment","1","more details"
"Human","Esophagus","Stem cell","Normal","LGR5","Experiment","1","more details"
"Human","Esophagus","Stem cell","Normal","P75","Experiment","1","more details"
"Human","Eye","Amacrine cell","Normal","CRABPI","Experiment","1","more details"
"Human","Eye","Bipolar cell","Normal","PKC-alpha","Experiment","1","more details"
"Human","Eye","Corneal endothelial cell","Normal","CD200, GPC4","Experiment","1","more details"
"Human","Eye","Corneal epithelial stem cell","Normal","CK14, CK3, P63","Experiment","1","more details"
"Human","Eye","Corneal epithelial stem cell","Normal","SSEA-4","Experiment","1","more details"
"Human","Eye","Endothelial cell","Normal","CD31","Experiment","1","more details"
"Human","Eye","Macrophage","Normal","CD68","Experiment","1","more details"
"Human","Eye","Neural progenitor cell","Normal","Nestin","Experiment","1","more details"
"Human","Eye","Pigment epithelial cell","Normal","RPE65","Experiment","1","more details"
"Human","Eye","Stem cell","Normal","CD133, CD34, CD44, CD90, NANOG, OCT3/4, SOX2, SSEA-4","Experiment","1","more details"
"Human","Eye","Stem cell","Normal","deltaNp63, SOX2","Experiment","1","more details"
